"genome_id","resistant_phenotype","Location","Antibiotic"
"GCA_043904785.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043863025.1","susceptible","Tunisia: Sfax","meropenem"
"GCA_024580225.1","susceptible","South Africa: Pretoria","meropenem"
"GCA_043860195.1","susceptible","Tunisia: Sfax","meropenem"
"GCA_048587265.1","susceptible","Nigeria","meropenem"
"GCA_020407015.1","resistant","Kenya: Nairobi","meropenem"
"GCA_048589205.1","susceptible","Nigeria","meropenem"
"GCA_043904845.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043905545.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043860375.1","susceptible","Tunisia: Sfax","meropenem"
"GCA_048585985.1","susceptible","Nigeria","meropenem"
"GCA_043859275.1","resistant","Tunisia: Sfax","meropenem"
"GCA_048586815.1","susceptible","Nigeria","meropenem"
"GCA_043905645.1","resistant","Tunisia: Sfax","meropenem"
"GCA_037287365.1","susceptible","South Africa: Pretoria","meropenem"
"GCA_048587035.1","susceptible","Nigeria","meropenem"
"GCA_048586885.1","susceptible","Nigeria","meropenem"
"GCA_048589765.1","susceptible","Nigeria","meropenem"
"GCA_043905185.1","resistant","Tunisia: Sfax","meropenem"
"GCA_019927655.1","susceptible","Kenya: Nairobi","meropenem"
"GCA_043905485.1","resistant","Tunisia: Sfax","meropenem"
"GCA_048586825.1","susceptible","Nigeria","meropenem"
"GCA_008704155.1","resistant","South Africa: Gauteng","meropenem"
"GCA_043859295.1","susceptible","Tunisia: Sfax","meropenem"
"GCA_048586085.1","susceptible","Nigeria","meropenem"
"GCA_008704045.1","resistant","South Africa: Gauteng","meropenem"
"GCA_043863325.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043905145.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043905165.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043905285.1","susceptible","Tunisia: Sfax","meropenem"
"GCA_043860495.1","resistant","Tunisia: Sfax","meropenem"
"GCA_008704055.1","resistant","South Africa: Gauteng","meropenem"
"GCA_048585925.1","susceptible","Nigeria","meropenem"
"GCA_019927405.1","susceptible","Kenya: Nairobi","meropenem"
"GCA_008704185.1","resistant","South Africa: Gauteng","meropenem"
"GCA_048589625.1","susceptible","Nigeria","meropenem"
"GCA_048587135.1","susceptible","Nigeria","meropenem"
"GCA_048587165.1","susceptible","Nigeria","meropenem"
"GCA_043905585.1","resistant","Tunisia: Sfax","meropenem"
"GCA_020552755.1","susceptible","South Africa: Pretoria","meropenem"
"GCA_048587195.1","susceptible","Nigeria","meropenem"
"GCA_048586025.1","susceptible","Nigeria","meropenem"
"GCA_043863365.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043905225.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043905385.1","resistant","Tunisia: Sfax","meropenem"
"GCA_048586065.1","susceptible","Nigeria","meropenem"
"GCA_048586165.1","susceptible","Nigeria","meropenem"
"GCA_043860235.1","susceptible","Tunisia: Sfax","meropenem"
"GCA_043905425.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043859975.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043859655.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043863445.1","resistant","Tunisia: Sfax","meropenem"
"GCA_048586715.1","susceptible","Nigeria","meropenem"
"GCA_043905305.1","susceptible","Tunisia: Sfax","meropenem"
"GCA_043858445.1","resistant","Tunisia: Sfax","meropenem"
"GCA_048586005.1","susceptible","Nigeria","meropenem"
"GCA_043860455.1","resistant","Tunisia: Sfax","meropenem"
"GCA_048587285.1","susceptible","Nigeria","meropenem"
"GCA_048589085.1","susceptible","Nigeria","meropenem"
"GCA_043859815.1","susceptible","Tunisia: Sfax","meropenem"
"GCA_048589425.1","susceptible","Nigeria","meropenem"
"GCA_043863405.1","resistant","Tunisia: Sfax","meropenem"
"GCA_048587215.1","susceptible","Nigeria","meropenem"
"GCA_048589105.1","susceptible","Nigeria","meropenem"
"GCA_043863305.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043858345.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043861595.1","susceptible","Tunisia: Sfax","meropenem"
"GCA_043863495.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043904745.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043859735.1","susceptible","Tunisia: Sfax","meropenem"
"GCA_043905345.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043859835.1","susceptible","Tunisia: Sfax","meropenem"
"GCA_043863225.1","resistant","Tunisia: Sfax","meropenem"
"GCA_019927425.1","susceptible","Kenya: Nairobi","meropenem"
"GCA_048586925.1","susceptible","Nigeria","meropenem"
"GCA_019928365.1","resistant","Kenya: Nairobi","meropenem"
"GCA_043860255.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043859795.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043858225.1","resistant","Tunisia: Sfax","meropenem"
"GCA_043905265.1","resistant","Tunisia: Sfax","meropenem"
"GCA_020552715.1","resistant","South Africa: Pretoria","meropenem"
"GCA_043859365.1","susceptible","Tunisia: Sfax","meropenem"
"GCA_008704215.1","resistant","South Africa: Gauteng","meropenem"
"GCA_024580135.1","resistant","South Africa: Pretoria","meropenem"
"GCA_024580195.1","resistant","South Africa: Pretoria","meropenem"
"GCA_024580215.1","resistant","South Africa: Pretoria","meropenem"
"GCA_019927625.1","resistant","Kenya: Nairobi","meropenem"
"GCA_019928405.1","resistant","Kenya: Nairobi","meropenem"
